date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:33	24070/24070	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-114x114.png	(from https://gh.usembassy.gov/)
15:03:34	25970/25970	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-120x120.png	(from https://gh.usembassy.gov/)
15:03:34	34595/34595	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-144x144.png	(from https://gh.usembassy.gov/)
15:03:34	37557/37557	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-152x152.png	(from https://gh.usembassy.gov/)
15:03:34	48049/48049	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/apple-icon-180x180.png	(from https://gh.usembassy.gov/)
15:03:35	53508/53508	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/android-icon-192x192.png	(from https://gh.usembassy.gov/)
15:03:35	3064/3064	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-32x32.png	(from https://gh.usembassy.gov/)
15:03:35	18312/18312	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-96x96.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-96x96.png	(from https://gh.usembassy.gov/)
15:03:36	991/991	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/favicon-16x16.png	(from https://gh.usembassy.gov/)
15:03:37	979/979	---MC-	200	added ('OK')	application/json	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/manifest.json	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/favicon/manifest.json	(from https://gh.usembassy.gov/)
15:03:38	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sun,%2018%20Aug%202024%2014:03:38%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/ghana/connect.facebook.net/en_US/sdk.27.delayed	(from https://gh.usembassy.gov/)
15:03:38	27490/27490	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f79f7120d56605b5fb6ee8993e18d7d%22	https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=DOS	C:/My%20Web%20Sites/ghana/dap.digitalgov.gov/Universal-Federated-Analytics-Min2a3d.js	(from https://gh.usembassy.gov/)
15:03:39	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%2247eaebf42f9628f3fa8a22e714d9652f%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/ghana/connect.facebook.net/en_US/sdk.js	(from https://gh.usembassy.gov/)
15:03:40	15343/15343	---MC-	200	added ('OK')	image/png	date:Thu,%2008%20Aug%202024%2020:43:19%20GMT	https://gh.usembassy.gov/wp-content/themes/cms3/dist/images/dos-logo-light.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/themes/cms3/dist/images/dos-logo-light.png	(from https://gh.usembassy.gov/)
15:03:40	152712/152712	---M--	200	added ('OK')	image/png	etag:%2250b2bb153897ab9a9b6b02c5329169dd%22	https://gh.usembassy.gov/wp-content/uploads/2015/07/travel_photo_no_text_243x115px_360.png	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/2015/07/travel_photo_no_text_243x115px_360.png	(from https://gh.usembassy.gov/)
15:03:41	112462/112462	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:41%20GMT	https://gh.usembassy.gov/u-s-citizen-services/security-and-travel-information/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/security-and-travel-information/index.html	(from https://gh.usembassy.gov/)
15:03:41	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2018%20Aug%202024%2014:03:41%20GMT	https://gh.usembassy.gov/security-alert-worldwide-caution/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/security-alert-worldwide-caution/index.html	(from https://gh.usembassy.gov/)
15:03:41	60219/60219	---M--	200	added ('OK')	image/jpeg	etag:%22ddd86369266ecc13a7eefb3701988284%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/2016/10/EdUSA-2.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/2016/10/EdUSA-2.jpg	(from https://gh.usembassy.gov/)
15:03:42	110592/110592	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:41%20GMT	https://gh.usembassy.gov/social-media/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/social-media/index.html	(from https://gh.usembassy.gov/)
15:03:42	29939/29939	---M--	200	added ('OK')	image/jpeg	etag:%225927e85b85ce5df84b4c1f310d95d3f2%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/2016/09/procurement.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/2016/09/procurement.jpg	(from https://gh.usembassy.gov/)
15:03:43	124759/124759	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:42%20GMT	https://gh.usembassy.gov/visas/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/visas/index.html	(from https://gh.usembassy.gov/)
15:03:43	131228/131228	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:43%20GMT	https://gh.usembassy.gov/visas/nonimmigrant-visas/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/visas/nonimmigrant-visas/index.html	(from https://gh.usembassy.gov/)
15:03:44	116622/116622	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:43%20GMT	https://gh.usembassy.gov/visas/immigrant-visas/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/visas/immigrant-visas/index.html	(from https://gh.usembassy.gov/)
15:03:44	60615/60615	---M--	200	added ('OK')	image/jpeg	etag:%22d3b18a32b4d4a5daac3d1480763bff09%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/2016/12/us-ghana-flag-245.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/2016/12/us-ghana-flag-245.jpg	(from https://gh.usembassy.gov/)
15:03:45	116833/116833	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:45%20GMT	https://gh.usembassy.gov/visas/visa-waiver-program/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/visas/visa-waiver-program/index.html	(from https://gh.usembassy.gov/)
15:03:46	50986/50986	---M--	200	added ('OK')	image/jpeg	etag:%225de439c29b159ff1a110e456dca6a949%22	https://gh.usembassy.gov/wp-content/uploads/sites/175/Amb_July4-175x105.jpg	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/wp-content/uploads/sites/175/Amb_July4-175x105.jpg	(from https://gh.usembassy.gov/)
15:03:48	118396/118396	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:47%20GMT	https://gh.usembassy.gov/u-s-citizen-services/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/u-s-citizen-services/index.html	(from https://gh.usembassy.gov/)
15:03:48	113151/113151	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Aug%202024%2014:03:47%20GMT	https://gh.usembassy.gov/visas/travel-tourism/	C:/My%20Web%20Sites/ghana/gh.usembassy.gov/visas/travel-tourism/index.html	(from https://gh.usembassy.gov/)
